table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,7,2,Chi phí tài chính,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,7,3,Chi phí tài chính,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,7,4,Chi phí tài chính,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,7,5,Chi phí tài chính,VND Tổng cộng | Năm nay,(1.188.465.609.510),-1188465609510.0,-1188465609510.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,8,0,Phần lỗ trong công ty liên doanh,Năm nay | Doanh thu,Phần lỗ trong công ty liên doanh,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,8,1,Phần lỗ trong công ty liên doanh,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,8,2,Phần lỗ trong công ty liên doanh,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,8,3,Phần lỗ trong công ty liên doanh,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,8,4,Phần lỗ trong công ty liên doanh,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,8,5,Phần lỗ trong công ty liên doanh,VND Tổng cộng | Năm nay,(44.596.454.899),-44596454899.0,-44596454899.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,9,0,Lỗ khác,Năm nay | Doanh thu,Lỗ khác,,,False,False
