table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,4,0,5,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",5,5.0,5.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,4,1,5,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty Cổ phần Za Hưng (""Công ty Za Hưng"")",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,4,2,5,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","51,75%",51.75,51.75,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,4,3,5,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","51,75%",51.75,51.75,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,4,4,5,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 8 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,4,5,5,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính","Sản xuất, truyền tải và phân phối điện",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,5,0,6,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",6,6.0,6.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,5,1,6,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty Cổ phần Thủy điện Sông Tranh 4 (""Công ty Sông Tranh 4"") (i)",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,5,2,6,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","62,72%",62.72,62.72,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,5,3,6,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","89,68%",89.68,89.68,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,5,4,6,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Thôn Tarn Tú, xã Quế Lưu, huyện Hiệp Đức,tỉnh Quảng Nam, Việt Nam",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,5,5,6,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính","Sản xuất, truyền tải và phân phối điện",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,6,0,7,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",7,7.0,7.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,6,1,7,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty TNHH Hà Đô Bình Thuận (""Công ty Hà Đô Bình Thuận"") (i)",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,6,2,7,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","83,25%",83.25,83.25,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,6,3,7,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","90,00%",90.0,90.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,6,4,7,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 101 thôn Hồng Trung, xã Hồng Phong,huyện Bắc Bình, tỉnh Bình Thuận",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,6,5,7,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính","Sản xuất, truyền tải và phân phối điện",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,7,0,8,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",8,8.0,8.0,False,False
